"Incident
Number",Nature,Report Date,Occurrence Date,General Location,Disposition,latitude,longitude
24RC00249,Criminal Mischief W/Damage,02/01/24 0909Hrs,"01/31/24 1530Hrs
-
01/31/24 1531Hrs",Deiner Park(CPN),Closed,40.5051372,-74.4495401
24RC00255,Poss Of Weapon With Unlawful Purpose,02/01/24 1727Hrs,02/01/24 1656Hrs,Hickman Hall(CPN),Open/Pending,40.4847582,-74.4341927
24RC00255,Prohibited Weapons/Devices,02/01/24 1727Hrs,02/01/24 1656Hrs,Hickman Hall(CPN),Open/Pending,40.4847582,-74.4341927
24RC00266,Theft From Building,02/02/24 1415Hrs,"01/30/24 1500Hrs
-
01/30/24 1530Hrs","LIVINGSTON
RECREATION
CENTER(CPN)",Closed,40.5210745,-74.4308334
24RC00267,Harassment,02/02/24 1525Hrs,"02/02/24 1512Hrs
-
02/02/24 1517Hrs",Campbell Hall(CPN),Closed,40.5053711,-74.45095979999999
24RC00269,Police Information,02/02/24 1932Hrs,02/02/24 1906Hrs,"EVA & ARIE
HALPERN HILLEL
HOUSE(CPN)",Closed,40.5004617,-74.4493954
24RC00269,Disorderly Conduct,02/02/24 1932Hrs,02/02/24 1906Hrs,"EVA & ARIE
HALPERN HILLEL
HOUSE(CPN)",Closed,40.5004617,-74.4493954
24RC00269,"Commit Harassment While In Prison Or On
Parole",02/02/24 1932Hrs,02/02/24 1906Hrs,"EVA & ARIE
HALPERN HILLEL
HOUSE(CPN)",Cleared by Arrest,40.5004617,-74.4493954
24RC00271,Driving While Intoxicated,02/02/24 2241Hrs,02/02/24 2212Hrs,"85-99 JOHNSON DR
/ 0-0 STATE HWY 18
S(CPN)",Cleared by Arrest,40.48246839999999,-74.4151962
24RC00271,Underage Dwi,02/02/24 2241Hrs,02/02/24 2212Hrs,"85-99 JOHNSON DR
/ 0-0 STATE HWY 18
S(CPN)",Cleared by Arrest,40.48246839999999,-74.4151962
24RC00272,Disorderly Conduct,02/03/24 0210Hrs,"02/03/24 0150Hrs
-
02/03/24 0200Hrs",Mettler Hall(CPN),Closed,40.5028197,-74.4506759
24RC00275,Criminal Trespass,02/03/24 0321Hrs,02/03/24 0246Hrs,"EASTON AVENUE
PARKING
DECK(CPN)",Cleared by Arrest,40.5031558,-74.4624627
24RC00275,"Obstructing Admin Of Law/Governmental
Function",02/03/24 0321Hrs,02/03/24 0246Hrs,"EASTON AVENUE
PARKING
DECK(CPN)",Cleared by Arrest,40.5031558,-74.4624627
24RC00276,Fraud Use Credit Card,02/03/24 1052Hrs,"02/01/24 1530Hrs
-
02/01/24 2300Hrs","COLLEGE AVE
GYM(CPN)",Closed,40.5032076,-74.4527639
24RC00276,Theft From Building,02/03/24 1052Hrs,"02/01/24 1530Hrs
-
02/01/24 2300Hrs","COLLEGE AVE
GYM(CPN)",Closed,40.5032076,-74.4527639
24RC00281,Theft Of Property All Other - Non-Building,02/03/24 2027Hrs,"02/03/24 1600Hrs
-
02/03/24 1900Hrs","T. ALEXANDER
POND SCIENCE &
ENGINEERING
RESOURCE
CENTER(CPN)",Closed,40.4862157,-74.4518188
24RC00282,Criminal Trespass,02/03/24 2342Hrs,02/03/24 2329Hrs,"HEADLEE
RESEARCH
LABORATORIES(CP
N)",Closed,40.47961220000001,-74.44387309999999
